hour,market_price,total_demand,total_bat,total_supply
1,10.52,1690.5949199999998,0.0,1690.59492
2,10.52,1589.6638800000003,0.0,1589.66388
3,9.788478840285345,1573.0413887290126,-3.197442310920451e-14,1573.0413887290129
4,8.820719,1563.795,25.04802431868494,1591.6261381318723
5,7.0,1563.7950000000003,79.04802431868494,1623.795
6,7.0,1590.3,133.04802431868495,1650.3000000000002
7,10.52,1867.2242399999998,133.04802431868495,1867.22424
8,10.52,2170.0173600000003,133.04802431868495,2170.0173600000007
9,10.89,2397.1121999999996,133.04802431868495,2397.1122
10,10.89,2422.3449600000004,133.04802431868495,2422.3449599999994
11,10.89,2422.3449600000004,133.04802431868495,2422.3449600000004
12,10.89,2397.1121999999996,121.10357987424051,2386.3621999999996
13,10.89,2397.1122000000005,66.66666666666664,2348.1189781131843
14,10.89,2397.1122,66.66666666666664,2397.1122000000005
15,10.89,2346.6466800000003,66.66666666666664,2346.64668
16,10.89,2346.64668,66.66666666666664,2346.6466800000003
17,10.89,2498.04324,-3.019806626980426e-14,2438.04324
18,10.89,2523.2760000000003,5.06261699229071e-15,2523.276
19,10.89,2523.2760000000003,5.06261699229071e-15,2523.276
20,10.89,2422.3449600000004,5.06261699229071e-15,2422.3449600000004
21,10.52,2296.1811599999996,5.06261699229071e-15,2296.18116
22,10.52,2094.3190800000007,5.06261699229071e-15,2094.31908
23,10.52,1841.9914799999995,5.06261699229071e-15,1841.9914799999995
24,7.0,1669.8150000000003,5.06261699229071e-15,1669.815
