hour,market_price_zone1,market_price_zone2,market_price_zone3
1,14.20500499189383,10.52,10.52
2,14.72000773881945,10.52,10.52
3,13.32,10.52,10.52
4,13.32,10.52,10.52
5,13.32,10.52,10.52
6,13.32,10.52,10.52
7,15.313612474141262,10.52,10.52
8,19.59631330498292,10.52,10.52
9,16.54904456148232,11.630000000000003,11.630000000000003
10,17.18899114488238,10.89,10.89
11,17.944447156183628,10.89,10.89
12,18.24399672560612,10.89,10.89
13,17.486740573741983,10.89,10.89
14,15.928758428897112,10.89,10.89
15,16.789996145684135,10.89,10.89
16,16.789996145684135,10.89,10.89
17,17.66253122732033,17.07262205742427,17.07262205742427
18,18.11796829804645,14.344703803139154,14.344703803139154
19,15.682604726428684,14.304948480485088,14.304948480485088
20,19.583399631338736,12.370000000000005,12.370000000000005
21,15.459041482847372,10.52,10.52
22,15.459041482847372,10.52,10.52
23,15.241391331987405,10.52,10.52
24,11.398608668012596,10.52,10.52
