hour,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,x_bat1,x_bat2,x_bat3,x_bat4,x_bat5,x_line1,x_line2,x_line3,x_line4,x_line5,x_line6,x_line7,x_line8,x_line9,x_line10,x_line11,x_line12,x_line13,x_line14,x_line15,x_line16,x_line17,x_line18,x_line19,x_line20,x_line21,x_line22,x_line23,x_line24,x_line25,x_line26,x_line27,x_line28,x_line29,x_line30,x_line31,x_line32,x_line33,x_line34
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.30224,63.612,89.05680000000001,0.0,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,96.69024,0.0,0.0,86.51232,0.0,0.0,0.0,66.15648,0.0,122.13504,111.95712000000002,152.6688,0.0,155.21328,0.0,173.02464,0.0,0.0,0.0,0.0,0.0,236.63664000000003,173.02464,282.43728,0.0,0.0,0.0,0.0,0.0,0.0,297.70416,162.84672,114.5016,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.63242499999998,44.9760281518146,88.129125,0.0,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,95.68305,0.0,0.0,85.61115000000001,0.0,0.0,0.0,65.46735000000001,17.9733468481854,120.8628,110.7909,151.0785,0.0,153.596475,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,234.171675,171.22230000000002,279.495225,0.0,0.0,0.0,0.0,0.0,0.0,294.603075,161.1504,113.308875,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.94088317479938,29.2907317833058,88.129125,0.0,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,95.68305,0.0,0.0,85.61115000000001,0.0,2.691541825200602,0.0,65.46735000000001,33.6586432166942,120.8628,110.7909,151.0785,0.0,153.596475,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,234.171675,171.22230000000002,279.495225,0.0,0.0,0.0,0.0,0.0,0.0,294.603075,161.1504,113.308875,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.4501265881818,62.949375,88.129125,0.0,95.68305,85.61115000000001,234.171675,171.22230000000002,279.495225,88.129125,294.603075,161.1504,113.308875,158.63242499999998,65.46735000000001,62.949375,120.8628,110.7909,151.0785,153.596475,171.22230000000002,0.0,0.0,0.0,0.0,0.0,95.68305,0.0,0.0,85.61115000000001,0.0,11.18229841181818,0.0,65.46735000000001,0.0,120.8628,110.7909,151.0785,0.0,153.596475,0.0,171.22230000000002,0.0,0.0,0.0,0.0,0.0,234.171675,171.22230000000002,279.495225,0.0,0.0,0.0,0.0,0.0,0.0,294.603075,161.1504,113.308875,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.04566449741182,61.62412500000001,86.27377500000001,0.0,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,147.8979,150.362865,167.61762000000002,0.0,0.0,0.0,0.0,0.0,93.66867,0.0,0.0,83.80881000000001,0.0,11.247130502588192,0.0,64.08909000000001,0.0,118.31832,108.45846000000002,147.8979,0.0,150.362865,0.0,167.61762000000002,0.0,0.0,0.0,0.0,0.0,229.24174500000004,167.61762000000002,273.61111500000004,0.0,0.0,0.0,0.0,0.0,0.0,288.400905,157.75776000000002,110.923425,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.04204691157,61.62412500000001,86.27377500000001,0.0,93.66867,83.80881000000001,229.24174500000004,167.61762000000002,273.61111500000004,86.27377500000001,288.400905,157.75776000000002,110.923425,155.292795,64.08909000000001,61.62412500000001,118.31832,108.45846000000002,147.8979,150.362865,167.61762000000002,0.0,0.0,0.0,0.0,0.0,93.66867,0.0,0.0,83.80881000000001,0.0,6.250748088430015,0.0,64.08909000000001,0.0,118.31832,108.45846000000002,147.8979,0.0,150.362865,0.0,167.61762000000002,0.0,0.0,0.0,0.0,0.0,229.24174500000004,167.61762000000002,273.61111500000004,0.0,0.0,0.0,0.0,0.0,0.0,288.400905,157.75776000000002,110.923425,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.4638483567012,65.599875,91.839825,0.0,99.71181,89.21583,244.031535,178.43166,291.263445,91.839825,307.007415,167.93568,118.07977499999998,165.31168499999998,68.22387,65.599875,125.95176,115.45578,157.4397,160.063695,178.43166,0.0,0.0,0.0,0.0,0.0,99.71181,0.0,0.0,89.21583,0.0,28.84783664329879,0.0,68.22387,0.0,125.95176,115.45578,157.4397,0.0,160.063695,0.0,178.43166,0.0,0.0,0.0,0.0,0.0,244.031535,178.43166,291.263445,0.0,0.0,0.0,0.0,0.0,0.0,307.007415,167.93568,118.07977499999998,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.29696583610578,66.2625,92.7675,0.0,100.719,90.117,246.49650000000003,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,127.224,116.622,159.03,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,100.719,0.0,0.0,90.117,0.0,35.68453416389423,0.0,68.91300000000001,0.0,127.224,116.622,159.03,0.0,161.6805,0.0,180.234,0.0,0.0,0.0,0.0,0.0,246.49650000000003,180.234,294.20550000000003,0.0,0.0,0.0,0.0,0.0,0.0,310.1085,169.632,119.2725,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.8512719174414,66.2625,92.7675,0.0,100.719,90.117,246.49650000000003,180.234,294.20550000000003,92.7675,310.1085,169.632,119.2725,166.9815,68.91300000000001,66.2625,127.224,116.622,159.03,161.6805,180.234,0.0,0.0,0.0,0.0,0.0,100.719,0.0,0.0,90.117,0.0,20.130228082558602,0.0,68.91300000000001,0.0,127.224,116.622,159.03,0.0,161.6805,0.0,180.234,0.0,0.0,0.0,0.0,0.0,246.49650000000003,180.234,294.20550000000003,0.0,0.0,0.0,0.0,0.0,0.0,310.1085,169.632,119.2725,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.814719052018,63.612,89.05680000000001,0.0,96.69024,86.51232,236.63664000000003,173.02464,282.43728,89.05680000000001,297.70416,162.84672,114.5016,160.30224,66.15648,63.612,122.13504,111.95712000000002,152.6688,155.21328,173.02464,0.0,0.0,0.0,0.0,0.0,96.69024,0.0,0.0,86.51232,0.0,15.487520947982006,0.0,66.15648,0.0,122.13504,111.95712000000002,152.6688,0.0,155.21328,0.0,173.02464,0.0,0.0,0.0,0.0,0.0,236.63664000000003,173.02464,282.43728,0.0,0.0,0.0,0.0,0.0,0.0,297.70416,162.84672,114.5016,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.2975681129556,60.298875,84.418425,0.0,91.65429,82.00647000000001,224.311815,164.01294,267.727005,84.418425,282.198735,154.36512,108.537975,151.95316499999998,62.71083,60.298875,115.77384,106.12602,144.7173,147.129255,164.01294,0.0,0.0,0.0,0.0,0.0,91.65429,0.0,0.0,82.00647000000001,0.0,4.655596887044396,0.0,62.71083,0.0,115.77384,106.12602,144.7173,0.0,147.129255,0.0,164.01294,0.0,0.0,0.0,0.0,0.0,224.311815,164.01294,267.727005,0.0,0.0,0.0,0.0,0.0,0.0,282.198735,154.36512,108.537975,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.31282301553179,54.997875,76.99702500000001,0.0,83.59676999999999,74.79711,204.59209500000003,149.59422,244.190565,76.99702500000001,257.390055,140.79456,98.996175,138.594645,57.197790000000005,54.997875,105.59592,96.79626,131.9949,134.194815,149.59422,0.0,0.0,0.0,0.0,0.0,83.59676999999999,0.0,0.0,74.79711,0.0,12.281821984468223,0.0,57.197790000000005,0.0,105.59592,96.79626,131.9949,0.0,134.194815,0.0,149.59422,0.0,0.0,0.0,0.0,0.0,204.59209500000003,149.59422,244.190565,0.0,0.0,0.0,0.0,0.0,0.0,257.390055,140.79456,98.996175,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.896495,48.371625,67.720275,0.0,73.52486999999999,65.78541,179.94244500000002,131.57082,214.770015,67.720275,226.379205,123.83136,87.068925,121.896495,50.30649,48.371625,92.87352,85.13406,116.0919,118.026765,131.57082,0.0,0.0,0.0,0.0,0.0,73.52486999999999,0.0,0.0,65.78541,0.0,0.0,0.0,50.30649,0.0,92.87352,85.13406,116.0919,0.0,118.026765,0.0,131.57082,0.0,0.0,0.0,0.0,0.0,179.94244500000002,131.57082,214.770015,0.0,0.0,0.0,0.0,0.0,0.0,226.379205,123.83136,87.068925,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.198345,41.745375,58.44352500000001,0.0,63.45297,56.77371000000001,155.29279500000004,113.54742000000002,185.349465,58.44352500000001,195.368355,106.86816,75.141675,105.198345,43.41519,41.745375,80.15112,73.47186,100.1889,101.858715,113.54742000000002,0.0,0.0,0.0,0.0,0.0,63.45297,0.0,0.0,56.77371000000001,0.0,0.0,0.0,43.41519,0.0,80.15112,73.47186,100.1889,0.0,101.858715,0.0,113.54742000000002,0.0,0.0,0.0,0.0,0.0,155.29279500000004,113.54742000000002,185.349465,0.0,0.0,0.0,0.0,0.0,0.0,195.368355,106.86816,75.141675,0.0
