scenario,profit
1,49962.98568233469
2,47288.662101692
3,48693.396775560555
4,37903.69949323076
5,35643.443954891096
6,36416.66757881087
7,65030.79634740577
8,61959.41011010241
9,64362.90036988409
10,63497.27159873222
11,60487.760464910716
12,62783.792206636026
13,41544.66268230853
14,39338.79991792163
15,39860.5191107374
16,46247.31352522279
17,43293.45719028935
18,45350.66122314326
19,38604.84249755174
20,36278.0011841253
21,36964.79124513277
22,11557.2655296665
23,9944.312740704787
24,9152.754207695143
25,19650.79386961603
26,18163.684776135546
27,17312.16360683682
28,11892.88291009632
29,10260.814680761385
30,9411.791497971642
31,10088.590479955757
32,8473.613521960033
33,7585.325942602514
34,23223.077627128805
35,21272.39581935655
36,21191.679559064578
37,17736.47208941827
38,16028.440267663513
39,15462.30755577345
40,45191.90886598453
41,42214.13504114575
42,43901.20794828431
43,22733.351749738416
44,20692.5289131799
45,20849.577899416272
46,34717.73983320272
47,32200.55821185863
48,33041.720266377204
49,46225.213206155386
50,43848.6359384284
51,44761.66062721976
52,7089.4256214305
53,5494.254893984629
54,4451.238397029113
55,16846.75951542804
56,15091.631043559217
57,14566.235894460246
58,19662.71020318744
59,17725.33787756914
60,17485.258180770354
61,541637.0409500573
62,499823.41956213576
63,516664.0841787286
64,378944.1858980273
65,337988.92976944527
66,357538.0191066128
67,472263.4907503449
68,433409.38337832625
69,457077.1091044237
70,494391.28745105054
71,453429.8198720382
72,475855.3652489703
73,610089.5209540981
74,569594.1104640212
75,579658.8641456094
76,274260.2756494054
77,229507.87838294686
78,259939.90744777786
79,357383.827841571
80,317834.5851728627
81,338422.9626480684
82,120482.90398489653
83,80268.49387701717
84,101771.17205953776
85,400105.35987814295
86,360750.32162820594
87,371952.2493627527
88,150454.4668903977
89,109786.3781987506
90,129699.06978633183
91,100267.75492650214
92,60426.46144320042
93,81306.82232342554
94,283012.0771090619
95,242393.3039391646
96,259820.86242214442
97,253111.53574576144
98,213456.95397286172
99,230344.32296747313
100,349784.69931579655
101,305232.13365611975
102,329576.82222034276
103,218312.43536420038
104,176024.7896913606
105,198109.7243325093
106,303173.6379065325
107,258537.71020252202
108,280842.55534644314
109,621493.6421463419
110,581600.507929253
111,592626.0988662634
112,74694.62466317455
113,34229.141478348945
114,55226.102322668245
115,206786.96594630915
116,166285.8771382828
117,185077.05187439438
118,166274.38771884446
119,125129.68708135415
120,147683.46245536482
121,400108.528417439
122,367505.3582169008
123,377182.3232259294
124,275134.025221261
125,242635.38132977576
126,256209.4415417501
127,307299.5678648939
128,277100.65440541186
129,293267.52927857987
130,333210.97541042697
131,301246.8440326983
132,315813.60410675645
133,468198.2782476629
134,436287.96713912865
135,440563.49137843144
136,180669.3443010883
137,146050.28613106985
138,167731.6212432874
139,246137.64061032928
140,214632.0679566571
141,229948.21751507753
142,85928.53574992457
143,53116.8797694268
144,71230.62242720473
145,315237.3826075935
146,283272.66603240557
147,291000.1839476333
148,111978.83203958457
149,78884.70842751449
150,95328.87266922323
151,72435.44418235058
152,39971.86424483507
153,57679.6337392727
154,221672.393855772
155,189022.29959351543
156,201758.38935287192
157,192212.4851355256
158,160280.52748067587
159,173243.19663704655
160,250122.04236389155
161,214995.19684863844
162,231875.91649234417
163,163028.76432457558
164,129232.04994260703
165,145959.1883883497
166,229963.46557485958
167,194521.73223952012
168,210184.05126786482
169,474027.2700140989
170,442997.5770232198
171,447575.0397438524
172,57139.10349254619
173,24122.71690657995
174,42072.9400874943
175,158834.17753265475
176,125988.35044285952
177,140905.90051320166
178,115826.12098297205
179,82646.64992510217
180,100889.72709996841
181,437598.23711581447
182,404883.7450335985
183,415084.9236382814
184,307580.95897104533
185,276089.03023183625
186,288372.6634212966
187,384325.0003018808
188,353131.0279099878
189,371033.6576894053
190,402715.81934243377
191,369814.05648258957
192,386368.2564982102
193,481740.1041619418
194,450271.1585947728
195,454110.8532844649
196,240054.43626715525
197,205711.5976432695
198,227479.84818376714
199,283432.3570470673
200,252723.77825279892
201,266464.7228410594
202,95445.49410755894
203,65298.001211447176
204,78618.66279060981
205,309686.6954242302
206,279949.50757844374
207,284096.1942166195
208,117909.74211979203
209,87306.51182766845
210,99211.14243234812
211,80651.86761403264
212,50839.140610965966
213,63594.01675186164
214,233675.6297087593
215,202702.77695502108
216,212669.03391503316
217,199224.05844863743
218,169346.09586947967
219,178678.79975388135
220,297849.1456612393
221,262801.24916772044
222,279739.4181539854
223,182101.92083884554
224,150215.3841664598
225,163960.11951135955
226,259655.55095019197
227,225126.99213332596
228,239502.64186105103
229,495178.89395109983
230,464177.05650402245
231,468990.22255824634
232,61463.04126080494
233,31226.96425152018
234,43910.51513900171
235,167718.52989153902
236,137120.45013987593
237,148105.6469203716
238,135486.5156634825
239,104413.32473758359
240,118808.97561943522
241,328731.25127341907
242,303376.53823141864
243,312453.6748840976
244,231893.08397707436
245,207596.4354189816
246,217588.55959248668
247,295688.4626878155
248,271078.7821013677
249,285742.40853490174
250,308748.4943675911
