hour,market_price_node1,market_price_node2,market_price_node3,market_price_node4,market_price_node5,market_price_node6,market_price_node7,market_price_node8,market_price_node9,market_price_node10,market_price_node11,market_price_node12,market_price_node13,market_price_node14,market_price_node15,market_price_node16,market_price_node17,market_price_node18,market_price_node19,market_price_node20,market_price_node21,market_price_node22,market_price_node23,market_price_node24
1,10.520000000000024,10.52000000000001,10.519999999999996,10.520000000000003,10.52000000000001,10.520000000000003,10.519999999999996,10.519999999999996,10.519999999999994,10.519999999999996,10.519999999999985,10.519999999999994,10.51999999999999,10.519999999999992,10.52,10.52,10.52,10.519999999999998,10.519999999999998,10.519999999999996,10.52,10.520000000000001,10.519999999999994,10.52
2,10.519999999999989,10.519999999999992,10.519999999999992,10.519999999999996,10.519999999999992,10.519999999999994,10.519999999999998,10.519999999999998,10.52,10.519999999999996,10.519999999999996,10.519999999999996,10.519999999999996,10.519999999999992,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.519999999999989,10.51999999999999
3,9.788478840285348,9.788478840285347,9.788478840285345,9.788478840285345,9.788478840285347,9.788478840285345,9.788478840285343,9.788478840285343,9.788478840285343,9.788478840285343,9.788478840285341,9.788478840285341,9.78847884028534,9.78847884028534,9.78847884028534,9.788478840285338,9.788478840285338,9.788478840285338,9.788478840285338,9.788478840285338,9.788478840285338,9.788478840285338,9.78847884028534,9.788478840285343
4,8.82071900000001,8.820719000000008,8.82071899999999,8.820719000000004,8.820719000000008,8.820719000000008,8.820719000000004,8.820719000000004,8.820719,8.820719000000008,8.820719000000004,8.820719000000002,8.820719000000002,8.820718999999999,8.820718999999992,8.820718999999993,8.820718999999992,8.82071899999999,8.820718999999995,8.820718999999997,8.82071899999999,8.82071899999999,8.820719,8.82071899999999
5,7.000000000000014,7.000000000000007,7.0,7.0000000000000036,7.000000000000005,7.000000000000002,6.999999999999998,6.999999999999998,6.999999999999999,6.9999999999999964,6.999999999999997,7.0,7.000000000000028,6.9999999999999964,6.999999999999999,7.000000000000001,7.0,7.0,7.0,7.000000000000007,7.0,7.0,7.000000000000011,7.0
6,7.000000000000014,7.000000000000007,7.0,7.0000000000000036,7.000000000000005,7.000000000000002,6.999999999999998,6.999999999999998,6.999999999999999,6.9999999999999964,6.999999999999997,7.0,7.000000000000028,6.9999999999999964,6.999999999999999,7.000000000000001,7.0,7.0,7.0,7.000000000000007,7.0,7.0,7.000000000000011,7.0
7,10.520000000000074,10.520000000000046,10.520000000000044,10.52000000000003,10.520000000000046,10.520000000000033,10.520000000000016,10.520000000000016,10.520000000000014,10.520000000000017,10.519999999999982,10.52000000000001,10.520000000000007,10.52000000000001,10.52000000000004,10.52000000000004,10.52000000000004,10.52000000000004,10.520000000000024,10.520000000000008,10.52000000000004,10.52000000000004,10.519999999999994,10.520000000000042
8,10.520000000000039,10.520000000000023,10.520000000000017,10.520000000000016,10.520000000000021,10.520000000000014,10.520000000000007,10.520000000000007,10.520000000000008,10.520000000000003,10.519999999999996,10.520000000000003,10.52,10.519999999999996,10.520000000000003,10.52,10.520000000000003,10.520000000000003,10.52,10.52,10.520000000000003,10.520000000000003,10.520000000000001,10.520000000000003
9,10.890000000000057,10.890000000000008,10.889999999999993,10.88999999999999,10.89,10.889999999999976,10.889999999999958,10.889999999999958,10.88999999999997,10.889999999999944,10.889999999999965,10.88999999999995,10.889999999999958,10.889999999999965,10.889999999999972,10.889999999999965,10.889999999999965,10.889999999999967,10.889999999999961,10.889999999999958,10.889999999999969,10.889999999999967,10.889999999999954,10.889999999999972
10,10.890000000000072,10.890000000000036,10.890000000000008,10.890000000000018,10.890000000000036,10.890000000000018,10.89,10.89,10.889999999999999,10.89,10.88999999999998,10.890000000000006,10.889999999999999,10.88999999999999,10.890000000000008,10.89,10.890000000000011,10.890000000000011,10.89,10.89,10.89000000000001,10.890000000000011,10.89,10.890000000000008
11,10.890000000000018,10.890000000000011,10.890000000000008,10.890000000000008,10.89000000000001,10.890000000000008,10.890000000000002,10.890000000000002,10.890000000000004,10.89,10.89,10.89,10.89,10.889999999999997,10.889999999999997,10.889999999999995,10.889999999999995,10.889999999999995,10.889999999999993,10.889999999999992,10.889999999999995,10.889999999999995,10.889999999999993,10.890000000000002
12,10.889999999999919,10.889999999999965,10.889999999999965,10.889999999999985,10.88999999999997,10.88999999999999,10.890000000000013,10.890000000000013,10.890000000000004,10.890000000000022,10.890000000000006,10.890000000000008,10.89,10.889999999999997,10.88999999999998,10.889999999999986,10.889999999999983,10.889999999999983,10.88999999999999,10.889999999999995,10.889999999999981,10.889999999999983,10.89,10.889999999999972
13,10.89,10.89,10.890000000000008,10.890000000000002,10.889999999999997,10.89,10.889999999999999,10.889999999999999,10.890000000000004,10.889999999999993,10.889999999999999,10.889999999999999,10.89,10.889999999999997,10.889999999999997,10.889999999999995,10.889999999999997,10.889999999999997,10.889999999999993,10.889999999999993,10.889999999999997,10.889999999999997,10.889999999999993,10.89
14,10.890000000000015,10.890000000000008,10.889999999999993,10.890000000000004,10.890000000000008,10.890000000000004,10.89,10.89,10.89,10.889999999999999,10.889999999999997,10.889999999999997,10.889999999999997,10.89,10.89,10.890000000000004,10.890000000000002,10.89,10.890000000000002,10.89,10.89,10.890000000000004,10.889999999999997,10.889999999999997
