hour,market_price_node1,market_price_node2,market_price_node3,market_price_node4,market_price_node5,market_price_node6,market_price_node7,market_price_node8,market_price_node9,market_price_node10,market_price_node11,market_price_node12,market_price_node13,market_price_node14,market_price_node15,market_price_node16,market_price_node17,market_price_node18,market_price_node19,market_price_node20,market_price_node21,market_price_node22,market_price_node23,market_price_node24
1,11.2322168721109,11.282417180277324,11.122403697996898,11.298104776579336,11.291829738058528,11.31692989214174,11.332617488443752,11.332617488443752,11.313792372881348,11.351442604006156,11.61820749871599,11.197628402670771,11.235278633795586,12.572316384180795,10.52,8.93127889060093,7.643759630200311,7.0,9.584185927067287,10.237092963533645,6.356240369799689,7.0,10.89,10.821201848998449
2,11.297196382428936,11.351976744186048,11.177364341085276,11.369095607235144,11.362248062015503,11.389638242894058,11.406757105943154,11.406757105943154,11.386214470284239,11.427299741602068,11.729655469422916,11.24819982773471,11.289285099052544,12.815822566752807,10.52,8.617545219638242,7.04377260981912,6.25688630490956,9.375030146425495,10.132515073212748,5.47,6.25688630490956,10.89,10.848682170542638
3,10.890268087855292,10.916366279069766,10.833178294573646,10.92452196382429,10.921259689922481,10.93430878552972,10.942464470284243,10.942464470284243,10.932677648578816,10.95225129198967,11.155055986218791,10.808167527993104,10.827741171403966,11.907553832902682,10.52,8.732273901808785,7.101136950904392,6.285568475452196,9.328182601205857,9.924091300602928,5.47,6.285568475452196,10.52,10.67658914728682
4,10.890268087855219,10.91636627906972,10.833178294573607,10.924521963824262,10.921259689922431,10.934308785529682,10.942464470284223,10.942464470284223,10.932677648578803,10.952251291989644,11.155055986218791,10.808167527993103,10.827741171403964,11.90755383290266,10.52,8.732273901808798,7.101136950904399,6.2855684754522,9.328182601205864,9.924091300602932,5.47,6.2855684754522,10.52,10.676589147286803
5,10.890268087855292,10.916366279069766,10.833178294573646,10.92452196382429,10.921259689922481,10.93430878552972,10.942464470284243,10.942464470284243,10.932677648578816,10.95225129198967,11.155055986218791,10.808167527993104,10.827741171403966,11.907553832902682,10.52,8.732273901808785,7.101136950904392,6.285568475452196,9.328182601205857,9.924091300602928,5.47,6.285568475452196,10.52,10.676589147286823
6,10.890268087855318,10.91636627906978,10.833178294573656,10.924521963824299,10.921259689922495,10.934308785529726,10.942464470284245,10.942464470284245,10.932677648578817,10.952251291989672,11.155055986218791,10.808167527993106,10.827741171403964,11.907553832902689,10.52,8.732273901808783,7.101136950904392,6.285568475452195,9.328182601205857,9.924091300602928,5.469999999999999,6.285568475452195,10.52,10.676589147286828
7,11.297196382428822,11.351976744185936,11.177364341085212,11.369095607235083,11.36224806201544,11.389638242893998,11.406757105943143,11.406757105943143,11.38621447028423,11.427299741602058,11.729655469422894,11.248199827734712,11.289285099052535,12.815822566752743,10.52,8.61754521963826,7.043772609819126,6.256886304909558,9.375030146425505,10.132515073212753,5.46999999999999,6.256886304909558,10.89,10.848682170542606
8,12.215682162683073,12.335201610273062,11.954233371079948,12.372551437644924,12.357611506696184,12.41737123049118,12.454721057863043,12.454721057863043,12.409901265016787,12.499540850709296,13.106131746774576,12.161868711721493,12.848032731159897,14.66705214021232,10.52,8.358588876306687,6.9142944381533455,6.1921472190766735,9.202392584204457,10.046196292102229,5.4700000000000015,6.1921472190766735,10.89,11.237116685539974
9,12.395326492983038,12.527508096012681,12.1061792363557,12.568814846959445,12.552292146580742,12.618382948095562,12.659689699042326,12.659689699042326,12.610121597906208,12.709257800178445,13.375353289812779,12.340570917360797,13.152904271358537,15.029129489807925,10.52,8.307940254548097,6.888970127274049,6.179485063637024,9.168626836365398,10.0293134181827,5.47,6.179485063637024,10.89,11.31308961817785
10,12.395326492983038,12.527508096012681,12.1061792363557,12.568814846959445,12.552292146580742,12.618382948095562,12.659689699042326,12.659689699042326,12.610121597906208,12.709257800178445,13.375353289812775,12.340570917360797,13.152904271358537,15.02912948980791,10.52,8.307940254548097,6.888970127274049,6.179485063637025,9.168626836365398,10.0293134181827,5.4700000000000015,6.179485063637025,10.89,11.31308961817785
11,12.395326492983038,12.527508096012681,12.1061792363557,12.568814846959445,12.552292146580742,12.618382948095562,12.659689699042326,12.659689699042326,12.610121597906208,12.709257800178445,13.375353289812779,12.340570917360797,13.152904271358537,15.029129489807925,10.52,8.307940254548097,6.888970127274049,6.179485063637024,9.168626836365398,10.0293134181827,5.47,6.179485063637024,10.89,11.31308961817785
12,12.749076333396978,12.73441757591819,12.781142365381822,12.729836714206067,12.731669058890917,12.724339680151523,12.7197588184394,12.7197588184394,12.725255852493945,12.714261784384856,12.961078035175769,12.43446332926667,13.408335680187887,12.996458823636377,12.957047455127265,10.52,7.995000000000012,6.732500000000009,10.643333333333333,10.766666666666666,5.47,6.7324999999999875,10.89,12.869094910254542
13,12.724675834555043,12.71764223296435,12.74006183803462,12.715444232467249,12.716323432666105,12.712806631870759,12.710608631373656,12.710608631373656,12.713246231970148,12.707971030777166,12.97022822224153,12.4298882357338,13.408335680187887,13.05135994603092,12.824465057122598,10.519999999999953,8.173333333333318,7.0,10.643333333333302,10.766666666666652,5.826666666666682,7.0,10.89,12.782263447578615
14,12.62923383798578,12.617472459475268,12.654961853477518,12.613797028690737,12.615267201004553,12.609386511749292,12.605711080964767,12.605711080964767,12.610121597906208,12.601300564023324,12.838188166837472,12.337949859560533,13.250377276312602,12.89095322910776,12.79609839560362,10.52,8.173333333333334,7.0000000000000036,10.643333333333333,10.766666666666666,5.826666666666668,7.0,10.89,12.725530124540569
