hour,node,lower_bound,upper_bound
23,1,388.02099999999996,0.0
23,2,388.02099999999996,0.0
23,13,388.02099999999996,0.0
23,14,388.02099999999996,0.0
23,15,388.02099999999996,0.0
23,16,388.02099999999996,0.0
23,18,388.02099999999996,0.0
23,19,388.02099999999996,0.0
23,20,388.02099999999996,0.0
23,3,388.02099999999996,0.0
23,4,388.02099999999996,0.0
23,5,388.02099999999996,0.0
23,6,388.02099999999996,0.0
23,7,388.02099999999996,0.0
23,8,388.02099999999996,0.0
23,9,388.02099999999996,0.0
23,10,388.02099999999996,0.0
