Hour,W1,W2,W3,W4,W5,W6
1,0.384460432271812,0.507700265124861,0.464001467924984,0.476854387845798,0.480010190535918,0.354536609476722
2,0.334138265321714,0.454994581411481,0.545837149872447,0.539685807934138,0.51808091470278,0.563091923283177
3,0.39211021799672,0.584795107848096,0.714400614906242,0.673901002894006,0.641382393207895,0.669161280575025
4,0.320718432808069,0.671243011484326,0.79785115199653,0.668318094370437,0.714843169393286,0.771166690036516
5,0.511097833226585,0.727537368423861,0.804718679908789,0.82651631620741,0.720152000170949,0.807447888972683
6,0.670195008873801,0.655562455470796,0.785114409675001,0.809137827933815,0.72318075693519,0.776111427937298
7,0.732582856766447,0.76834863691622,0.70783038665257,0.799635018185334,0.764298474493265,0.768020472210043
8,0.715879043358315,0.816961954548812,0.776469661762582,0.854023534016241,0.793214380958502,0.821533153487488
9,0.81648374993383,0.722400860955903,0.863191232309735,0.92659017097977,0.754503820232877,0.832787657979085
10,0.863173498473644,0.52011102300564,0.833182001656301,0.890071784167414,0.748322057286743,0.75147288328809
11,0.834677137635638,0.444935503018041,0.774479239469095,0.936281888606562,0.818448145867091,0.737027839766242
12,0.809602492154417,0.224880140759073,0.641340054250144,0.822665472537787,0.772781997692101,0.764897387646617
13,0.779704415873997,0.146453658916529,0.626471977481607,0.765821449581227,0.716743790921845,0.74345594135004
14,0.737250632940909,0.498119722706043,0.687403886844738,0.725455842077439,0.747518233197063,0.643461257995582
15,0.720228322487059,0.595258428570188,0.681553459721394,0.71141171051656,0.744790019574768,0.486981317771057
16,0.74521023455785,0.523097379856881,0.656027907387665,0.727362719356604,0.714129446946162,0.545111969385291
17,0.682319241783506,0.576699300007956,0.653150107884291,0.732590527541154,0.698494334156966,0.482333176548087
18,0.656484829180529,0.726077589122989,0.673278470745778,0.737030766448878,0.714711640992591,0.450140018368363
19,0.734256359587207,0.784294396660919,0.490773234972851,0.783363367970907,0.66360674128172,0.553687782238319
20,0.72407359526009,0.816551027873552,0.604189638184869,0.768001548953736,0.741312681835563,0.655756572044331
21,0.736487840564778,0.818463919581676,0.693157339675951,0.732626519708309,0.816838863573557,0.679762972620612
22,0.631564115077659,0.785237701754715,0.816531332822142,0.77474500383953,0.759589336030414,0.640565479169513
23,0.624393969124891,0.614665033950181,0.816363694508218,0.758243478792461,0.802241397610644,0.319509818542393
24,0.689311008256275,0.763958131341795,0.807860048714078,0.643279472620254,0.790233347752789,0.160219533791614
END
