In sample scenarios,Seed,In sample profit,Out of sample profit,Relative profit
50,123,124293.77417992635,127448.65920533582,-0.024754164108753418
50,2,105378.87847191561,131242.7316639882,-0.1970688423210365
50,3,124293.77417992635,130935.30425226795,-0.05072375330908174
50,4,121582.80381479782,130981.61077546998,-0.07175669092040471
50,5,121308.80543445899,130659.46961015632,-0.07156514719979001
50,6,128333.5125691759,130823.06464843285,-0.0190299171323286
50,7,119663.94128595927,130735.37410230684,-0.08468582349933562
50,8,128175.8501635716,130743.6958033622,-0.01964030176760978
50,9,110376.15530073042,131500.7942661526,-0.16064267203334692
50,10,137628.47517979256,130093.6854216672,0.05791818206781629
50,11,131545.95830091502,130551.64678609265,0.007616231118490191
50,12,126380.80251980398,130762.77931143124,-0.03351088753773668
50,13,137337.2407967962,130331.34090954179,0.05375452932780722
50,14,131286.16395450555,131151.16165216683,0.0010293641370615614
50,15,127010.06687113881,130449.68282385536,-0.0263673768939785
50,16,123419.75092734216,131180.82412926355,-0.05916316849994596
50,17,125435.78631236102,130729.89702529347,-0.040496556896301605
50,18,137970.05595178995,130539.75875241961,0.05691980183188905
50,19,125007.10373685554,130889.85696302088,-0.04494430174087016
50,20,142850.97532960697,130187.98204717519,0.09726699103334435
50,21,129893.34908921858,130396.19157502832,-0.0038562666573004334
50,22,126244.67568886877,130758.38091839798,-0.03451943346060593
50,23,136859.2284553425,130249.46433397102,0.05074695819418862
50,24,105404.54117445278,131617.9394570092,-0.19916280706642264
150,123,127601.54544258236,131035.26054488418,-0.0262045123428869
150,2,126117.34208429218,131024.03869806955,-0.03744882742535749
150,3,131130.84704173918,130333.17765793046,0.006120232761471334
150,4,137896.91606661794,129645.65683909897,0.06364470224991381
150,5,122783.1781461573,130792.85650863929,-0.061239417627926285
150,6,132178.9135463235,130856.9441897458,0.010102401250183801
150,7,138269.3193439312,129272.76593595475,0.06959357094930252
150,8,131501.76965896663,130550.99284482781,0.007282800332808703
150,9,125202.70126916829,131526.00030061102,-0.04807641847992361
150,10,125351.4755228585,130604.18302336884,-0.04021852423800609
150,11,128416.09193310945,131025.98689070265,-0.019918910893380937
150,12,124848.37677560783,131104.30322209417,-0.047717170929840735
150,13,129733.33554318685,130740.63697964697,-0.007704578008266294
150,14,131175.7466658749,130770.31291092698,0.0031003501171100734
150,15,131392.2928825989,130231.92981124218,0.008909973714115615
150,16,145494.56022321666,128830.67986880214,0.12934714286522886
150,17,122189.45007315096,131326.01189582748,-0.06957160802175255
150,18,123573.68446951047,131687.8293895877,-0.061616513520563965
150,19,141847.9664438504,128969.62831819072,0.09985558843270104
150,20,124168.22597959012,131415.9560206967,-0.055151065826170576
150,21,136909.60951651752,129419.39207982,0.057875541805032515
150,22,132549.44689484942,130147.31345776396,0.01845703436563828
150,23,144985.88935775682,128067.81489259803,0.13210246836292838
150,24,119938.06756881159,131605.6874686514,-0.08865589416581288
250,123,129997.0258090001,130925.40715788711,-0.007090918172722893
250,2,132598.83113649592,129639.96365455234,0.022823729647348356
250,3,129548.4715874523,130386.02157054706,-0.006423617907856727
250,4,135952.891633602,129554.46591360458,0.04938792094025013
250,5,123506.4607285077,131432.00235584442,-0.060301459958578274
250,6,134969.02718309406,129619.1817204348,0.04127356299932461
250,7,131006.94780624306,129899.7835383525,0.00852321872856443
250,8,129492.10446449819,130624.42956262329,-0.008668555353057106
250,9,126392.32837253253,131592.1726493193,-0.03951484478217315
250,10,132816.6931209174,129950.08155129084,0.022059328746901308
250,11,128015.44255024736,131022.37953601872,-0.022949796793644284
250,12,135847.85599336246,128587.02717298162,0.05646626242173891
250,13,123207.70731650112,132274.55146901114,-0.06854564276964625
250,14,132835.81760729614,130498.6417599315,0.017909579868763403
250,15,127997.48002106628,130785.39650742144,-0.021316726185074963
250,16,140671.14952694383,128703.06596962163,0.09298988697089072
250,17,124463.64485619194,132584.6710258539,-0.0612516221281596
250,18,125427.22717840047,131728.22809162352,-0.047833338415820714
250,19,138574.8877298406,128583.5189321886,0.0777033392819273
250,20,129701.74248042544,130553.38975036118,-0.0065233639016514244
250,21,127697.50701333428,130522.80044464736,-0.02164597619487363
250,22,133664.5646496952,130214.16924752021,0.026497849059853307
250,23,135526.5615555949,128708.27072238919,0.05297476840406068
250,24,122982.70091537325,131929.34241830363,-0.06781388688017242
500,123,137127.83167003994,128291.00978289815,0.0688810689236603
500,2,136386.9369966145,127554.90346579831,0.06924103496487177
500,3,131678.16072579025,128881.40034552272,0.021700263752330473
500,4,133051.07415506107,130048.11152907301,0.02309116672806688
500,5,124345.52431945538,133407.08352814242,-0.06792412343513599
500,6,132121.3629516145,130142.87352670643,0.01520244152671224
500,7,132289.26776904415,130216.417971702,0.015918498063681952
500,8,134708.02373336972,130178.4277874101,0.03479528845867419
500,9,125479.30546009228,132905.63079584422,-0.05587667950020481
500,10,130999.64823077251,131267.18721632147,-0.002038125377883504
500,11,127426.2792719317,131618.62782307653,-0.03185224326134328
500,12,132059.1873416467,127966.93636823313,0.0319789712057954
500,13,126110.33641622435,132430.53254518224,-0.04772461461484789
500,14,125707.27051143753,134606.96131076064,-0.06611612588725502
500,15,126606.63920143101,132518.41276489667,-0.0446109596404074
500,16,135404.55475822365,128218.89451717779,0.056042132231012065
500,17,128207.12140895225,132129.89549189855,-0.029688770042104684
500,18,128249.68126509414,131606.70280851552,-0.02550798304175861
500,19,133663.21932793595,130040.06017934269,0.027861869208584134
500,20,124147.94202780077,132076.55520058892,-0.06003043583887169
500,21,131120.25089994672,129926.42140138359,0.00918850442955721
500,22,126452.99613648138,131575.75902951226,-0.03893394140999673
500,23,133409.68537659507,128536.83199069498,0.03791017181948941
500,24,124966.17547535943,131894.21648015708,-0.052527253959160025
600,123,137801.8567580831,126740.64109767335,0.08727441777642087
600,2,134945.4736386281,127326.49380362235,0.05983813429086182
600,3,132877.61592973446,128638.78258078134,0.03295144173407616
600,4,132155.34637706587,131315.68482074753,0.006394221356454954
600,5,127228.43110337929,131995.35401639878,-0.03611432348162236
600,6,132361.7690704567,130389.08429733595,0.015129217171448994
600,7,132034.62006213196,130116.39777851515,0.014742356200807327
600,8,135587.34646443187,129449.23668153101,0.04741711840295926
600,9,128502.42331612592,131876.95928114626,-0.025588518141567373
600,10,129001.06580471463,131969.6329476764,-0.02249431991781592
600,11,128165.53910110773,132985.41172134032,-0.03624361918984187
600,12,133132.39952835804,127106.1242486081,0.04741136837720816
600,13,127132.10190128621,132415.447654302,-0.039899768845769845
600,14,130179.40246277538,131861.09964000247,-0.012753550378529654
600,15,125683.608509742,134654.71698812422,-0.06662305397866919
600,16,134133.78098082636,128354.61954699828,0.04502495862030109
600,17,131560.51299806192,129543.2096615904,0.015572435959718689
600,18,124184.44942011479,133490.11069514812,-0.06971049186021505
600,19,134100.31931016687,129420.75275942989,0.036157775711871176
600,20,127495.40515128874,131522.07525493618,-0.030615925850031922
600,21,131446.4623135611,129581.00322040047,0.014396084663642617
600,22,125980.03695778115,131828.19771879396,-0.044361986754060556
600,23,133753.6972830512,128062.15335102065,0.044443606351284304
600,24,128063.9191892507,130665.85152863477,-0.019912871717779113
750,123,135031.91234966222,128713.77840609742,0.049086694694260524
750,2,132298.16198961932,128830.11881169109,0.026919506167633056
750,3,132752.87085501416,127448.65920533582,0.041618418606762964
750,4,131831.57464550046,131601.5457497721,0.001747919406400733
750,5,126767.62505154888,133560.077149211,-0.05085690456792491
750,6,132352.339043284,131618.2822970203,0.005577164003760293
750,7,133081.8560716649,128332.08591507214,0.03701155578298687
750,8,134658.75780936482,129579.76786567122,0.03919585616914145
750,9,128213.24193992818,132955.60090488804,-0.03566874153990984
750,10,127581.95877181123,133488.69979576004,-0.04424899660410375
750,11,125602.0862624893,135721.14085630502,-0.07455768887567249
750,12,131544.04898634073,128730.90297130407,0.021852919152316908
750,13,125624.42562661709,133674.99116725888,-0.06022491918902495
750,14,130440.17957215096,132944.4034352914,-0.018836624923134426
750,15,125166.13202523011,134702.9143668821,-0.070798634064273
750,16,133491.73430888445,128221.55496743844,0.04110213249858319
750,17,132630.0423537837,128493.56371331468,0.03219210768951841
750,18,123707.06780642156,134408.28159130906,-0.07961722044350161
750,19,132226.07342796095,130315.72032055522,0.014659421769734005
750,20,128251.13920225922,129037.98015761116,-0.006097746991938879
750,21,129721.7536023641,130619.4032864571,-0.006872253750267121
750,22,126845.64884666867,131588.81983988633,-0.036045395034236316
750,23,130681.32273199146,130288.19956302475,0.0030173351868028053
750,24,124911.19805672157,134395.07912536024,-0.07056717500640297
