date,hour,wind power
2023-01-01,0,114.77629032258065
2023-01-01,1,117.26580643548388
2023-01-01,2,117.01693548387098
2023-01-01,3,113.00290319354838
2023-01-01,4,108.14661285483871
2023-01-01,5,109.4348386935484
2023-01-01,6,104.34919353225804
2023-01-01,7,103.62580643548387
2023-01-01,8,103.56983870967741
2023-01-01,9,104.88451611290321
2023-01-01,10,110.126129
2023-01-01,11,110.24129032258065
2023-01-01,12,105.18596770967741
2023-01-01,13,112.39193548387097
2023-01-01,14,116.08129029032258
2023-01-01,15,112.99677417741935
2023-01-01,16,114.22322580645161
2023-01-01,17,116.78403222580644
2023-01-01,18,118.55774187096775
2023-01-01,19,116.281128983871
2023-01-01,20,107.72741933870968
2023-01-01,21,106.4725806451613
2023-01-01,22,105.13532258064518
2023-01-01,23,105.45887095161291
2023-01-02,0,102.08370967741935
2023-01-02,1,101.54032258064515
2023-01-02,2,93.45677416129033
2023-01-02,3,83.24435483870967
2023-01-02,4,79.66806448387096
2023-01-02,5,77.27532256451613
2023-01-02,6,70.30951612903226
2023-01-02,7,66.12838708064517
2023-01-02,8,65.72258062903225
2023-01-02,9,65.14854837096775
2023-01-02,10,58.56870966129033
2023-01-02,11,61.803064516129034
2023-01-02,12,60.31193548387097
2023-01-02,13,60.48209677419355
2023-01-02,14,55.44935482258065
2023-01-02,15,53.17661290322581
2023-01-02,16,49.483709677419355
2023-01-02,17,46.69177419354839
2023-01-02,18,42.47741933870968
2023-01-02,19,36.08741933870968
2023-01-02,20,31.6775805483871
2023-01-02,21,27.863854693548383
2023-01-02,22,23.567919209677417
2023-01-02,23,21.550951548387097
2023-01-03,0,18.634709645161294
2023-01-03,1,14.883225741935485
2023-01-03,2,11.919403177419353
2023-01-03,3,10.48709677419355
2023-01-03,4,10.078274177419354
2023-01-03,5,10.508870951612904
2023-01-03,6,11.302467725806451
2023-01-03,7,10.783935435483869
2023-01-03,8,9.436338693548386
2023-01-03,9,8.390354806451612
2023-01-03,10,6.098419274193549
2023-01-03,11,5.2370322580645166
2023-01-03,12,5.592629016129033
2023-01-03,13,7.892596758064515
2023-01-03,14,10.706354822580645
2023-01-03,15,12.346741903225807
2023-01-03,16,13.259564500000002
2023-01-03,17,17.612016112903227
2023-01-03,18,21.3975
2023-01-03,19,25.33532258064516
2023-01-03,20,30.433661274193547
2023-01-03,21,33.808064516129036
2023-01-03,22,31.773532177419355
2023-01-03,23,32.439354790322575
2023-01-04,0,37.666290306451614
2023-01-04,1,39.78467741935484
2023-01-04,2,41.377419354838715
2023-01-04,3,43.83951612903226
2023-01-04,4,46.77322580645161
2023-01-04,5,50.75564516129032
2023-01-04,6,53.68854838709678
2023-01-04,7,53.07580643548386
2023-01-04,8,53.04483870967742
2023-01-04,9,54.84983870967742
2023-01-04,10,52.4253225483871
2023-01-04,11,48.78209677419355
2023-01-04,12,49.627258064516134
2023-01-04,13,57.428225806451614
2023-01-04,14,68.61048387096774
2023-01-04,15,78.0966129032258
2023-01-04,16,81.11032258064516
2023-01-04,17,75.88145161290322
2023-01-04,18,76.02467741935484
2023-01-04,19,78.40967741935484
2023-01-04,20,89.0425806451613
2023-01-04,21,94.88451612903226
2023-01-04,22,97.2477419032258
2023-01-04,23,93.7441935483871
2023-01-05,0,91.12629030645161
2023-01-05,1,97.14096774193548
2023-01-05,2,98.73370967741936
2023-01-05,3,101.31032258064516
2023-01-05,4,101.71451612903226
2023-01-05,5,99.57096774193548
2023-01-05,6,90.30225806451612
2023-01-05,7,88.57516127419356
2023-01-05,8,80.76548385483872
2023-01-05,9,71.21370967741936
2023-01-05,10,63.47290319354839
2023-01-05,11,58.807258064516134
2023-01-05,12,57.69693546774194
2023-01-05,13,56.54516129032259
2023-01-05,14,57.16887096774194
2023-01-05,15,55.60403225806452
2023-01-05,16,53.280806435483875
2023-01-05,17,47.58306451612903
2023-01-05,18,38.63548387096775
2023-01-05,19,29.73011270967742
2023-01-05,20,23.25740314516129
2023-01-05,21,18.96714508064516
2023-01-05,22,16.444290306451613
2023-01-05,23,13.686467661290324
2023-01-06,0,10.387983806451615
2023-01-06,1,8.553096725806453
2023-01-06,2,7.405741903225807
2023-01-06,3,6.862999967741936
2023-01-06,4,6.08058064516129
2023-01-06,5,7.828951596774194
2023-01-06,6,8.905629016129032
2023-01-06,7,10.66772577419355
2023-01-06,8,13.157967725806452
2023-01-06,9,16.03135477419355
2023-01-06,10,17.37651608064516
2023-01-06,11,17.998403177419352
2023-01-06,12,20.002241854838708
2023-01-06,13,22.932951612903228
2023-01-06,14,28.862725758064517
2023-01-06,15,35.78516129032258
2023-01-06,16,44.20645161290323
2023-01-06,17,51.76129032258064
2023-01-06,18,60.60806451612903
2023-01-06,19,63.784838693548394
2023-01-06,20,62.20483870967741
2023-01-06,21,60.080483854838704
2023-01-06,22,64.01612903225806
2023-01-06,23,66.99016129032258
2023-01-07,0,72.77177417741936
2023-01-07,1,80.00451612903227
2023-01-07,2,88.33532256451613
2023-01-07,3,93.2433870967742
2023-01-07,4,96.54483870967742
2023-01-07,5,96.81854838709677
2023-01-07,6,92.62435482258066
2023-01-07,7,94.27774191935484
2023-01-07,8,100.30048385483869
2023-01-07,9,110.78387096774193
2023-01-07,10,114.48064516129033
2023-01-07,11,110.5530645
2023-01-07,12,110.09177417741935
2023-01-07,13,112.73177417741935
2023-01-07,14,116.2354838548387
2023-01-07,15,118.89096774193548
2023-01-07,16,117.06306448387096
2023-01-07,17,118.23548383870968
2023-01-07,18,120.71999993548388
2023-01-07,19,119.79822579032258
