hour,objective_value,x_con1,x_con2,x_con3,x_con4,x_con5,x_con6,x_con7,x_con8,x_con9,x_con10,x_con11,x_con12,x_wind1,x_wind2,x_wind3,x_wind4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1,6926.182841167436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,76.8920864543624,101.5400530249722,92.8002935849968,95.37087756915959,85.60924158714214,0.0,0.0,106.60773480662984,46.84279256654947,10.187439212094645,67.84128578603716,0.0,0.0,0.0,0.0,121.14515318935209,0.0,0.0,0.0,0.0,208.3696634856856
2,4112.47767137753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.56507214076325,0.0,0.0,0.0,66.8276530643428,90.99891628229621,109.16742997448941,107.9371615868276,0.0,41.767955801104975,0.0,100.24309392265194,0.0,105.5590155700653,0.0,0.0,0.0,102.52134605725766,0.0,0.0,58.47513812154696,0.0,0.0,0.0,195.9296835760924
3,5988.101284702419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.05253392292082,280.0,0.0,0.0,0.0,78.42204359934401,116.9590215696192,142.8801229812484,134.7802005788012,0.0,0.0,0.0,0.0,41.948769462581616,100.53239578101456,60.75339025615269,0.0,108.48819688598694,0.0,148.26720241084882,108.48819688598694,55.69060773480663,0.0,72.32546459065796,0.0,186.59969864389757
4,4009.8389106413406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1436865616138,134.2486022968652,159.570230399306,133.6636188740874,0.0,39.11602209944751,68.98643897538925,0.0,0.0,0.0,0.0,53.34003013561024,106.68006027122048,0.0,0.0,0.0,54.76243093922652,0.0,68.46189905603117,100.27925665494726,0.0
5,4720.721036739266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.219566645317,145.50747368477218,160.94373598175778,165.303263241482,0.0,0.0,68.98643897538925,0.0,0.0,98.856855851331,0.0,53.34003013561024,106.68006027122048,96.01205424409844,0.0,106.68006027122048,0.0,43.41853980445909,0.0,0.0,0.0
6,5915.776693581675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.37123891619837,0.0,0.0,0.0,134.0390017747602,131.1124910941592,157.0228819350002,161.827565586763,76.66499246609744,0.0,70.15570065293822,0.0,0.0,100.53239578101456,0.0,54.24409844299347,0.0,0.0,0.0,0.0,0.0,177.197388247112,0.0,101.97890507282771,186.59969864389757
7,10753.73437661625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.72293069267107,280.0,0.0,0.0,0.0,146.5165713532894,153.669727383244,141.56607733051402,159.9270036370668,0.0,49.060773480662974,86.5253641386238,117.74585635359114,51.73681567051732,0.0,0.0,66.90105474635861,0.0,0.0,182.86288297338015,0.0,68.68508287292816,218.54344550477143,89.20140632847814,0.0,230.1396283274736
8,24225.776019726836,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,215.23019792780224,0.0,143.175808671663,163.3923909097624,155.2939323525164,170.8047068032482,109.88648920140632,57.01657458563536,100.55650426921144,0.0,60.12656956303365,144.09643395278752,87.07985936715218,77.7498744349573,155.4997488699146,139.94977398292315,0.0,155.4997488699146,79.82320441988949,253.98292315419383,0.0,146.16976393771972,267.4595680562531
9,45472.17472859619,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,163.296749986766,144.4801721911806,172.638246461947,185.318034195954,121.38623807132092,0.0,111.07985936715218,151.16022099447514,66.41888498242089,159.17629331993973,96.19286790557508,85.88648920140632,171.77297840281264,17.759219912693368,234.75640381717727,171.77297840281264,88.1767955801105,280.5625313912607,114.51531893520844,161.46659969864388,295.44952285283773
10,39480.09211277744,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,172.6346996947288,104.02220460112801,166.6364003312602,178.0143568334828,122.66398794575588,63.646408839779006,112.24912104470116,152.75138121546962,67.11803114013058,160.8518332496233,97.2054244098443,0.0,173.5811150175791,156.2230035158212,237.2275238573581,0.0,78.62750073734551,283.5158211953792,115.72074334505274,163.16624811652434,298.5595178302361
11,40582.13194722209,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,166.9354275271276,88.9871006036082,154.895847893819,187.25637772131242,122.66398794575588,63.646408839779006,0.0,152.75138121546962,67.11803114013058,160.8518332496233,97.2054244098443,86.79055750878955,173.5811150175791,156.2230035158212,237.2275238573581,0.0,89.10497237569061,283.5158211953792,107.46892752788611,163.16624811652434,298.5595178302361
12,30131.667099203823,0.0,0.0,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,161.9204984308834,44.9760281518146,128.2680108500288,164.5330945075574,121.38623807132092,62.98342541436464,111.07985936715218,151.16022099447514,66.41888498242089,159.17629331993973,96.19286790557508,85.88648920140632,0.0,0.0,234.75640381717727,0.0,88.1767955801105,280.5625313912607,34.001499343599335,161.46659969864388,295.44952285283773
13,35826.830277316774,106.4,106.4,0.0,0.0,0.0,108.5,108.5,280.0,280.0,210.0,217.0,245.0,155.94088317479938,29.2907317833058,125.2943954963214,153.1642899162454,121.38623807132092,62.98342541436464,0.0,151.16022099447514,0.0,159.17629331993973,96.19286790557508,85.88648920140632,0.0,154.59568056253138,182.16533804018502,171.77297840281264,88.1767955801105,280.5625313912607,114.51531893520844,161.46659969864388,295.44952285283773
